"Año";"Periodo";"Parámetro";"2019";"2020"
"2020";"Año";"Enero";"8,5";"11"
"2020";"Año";"Febrero";"8";"9"
"2020";"Año";"Marzo";"8,2";"7"
"2020";"Año";"Abril";"8,2";"6"
"2020";"Año";"Mayo";"8,4";"8"
"2020";"Año";"Junio";"7,8";"9"
"2020";"Año";"Julio";"8,9";"9"
"2020";"Año";"Agosto";"8,3";"9"
"2020";"Año";"Septiembre";"8,2";"8"
"2020";"Año";"Octubre";"9";"8"
"2020";"Año";"Noviembre";"8,3";"8"
"2020";"Año";"Diciembre";"8,1";"8"
;;;
;;;
"Métrica":"2019"
"Fuente":"Fundación Affinity"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"2020"
"Fuente":"Fundación Affinity"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/distribucion-meses-total-perros-recogidos-entidades-proteccion-animal-2020-2019/0cf00d61-d4f7-4ad3-95dd-e64488d07dc1"
"Titulo":"Distribución por meses del total de perros recogidos por entidades de protección animal en 2020 y en 2019"
"Subtitulo":""
