"Año";"Periodo";"Número de animales abandonados"
"2008";"Año";"156.858"
"2009";"Año";"151.673"
"2010";"Año";"145.057"
"2012";"Año";"144.660"
"2013";"Año";"141.835"
"2014";"Año";"140.191"
"2015";"Año";"137.831"
"2016";"Año";"137.782"
"2017";"Año";"138.307"
"2018";"Año";"138.407"
;;
;;
"Métrica":"Número de animales abandonados"
"Fuente":"Fundación Affinity"
"Clasificación":""
"Unidad":"Animales"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-numero-total-animales-abandonados-espana/6c1a807d-5207-4b89-a96c-3dc7fa2e6abe"
"Titulo":"Animales recogidos por refugios y protectoras en España"
"Subtitulo":""
